Start Time, Fri Apr 17 13:53:13 GMT-0400 2026
Energy calibration,  Offset: -15.219706535339355, Slope: 0.7653962969779968, Quadratic: 0
Live Time (s), 120
Real Time (s), 124.329614
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
172, 116.4284565448761, 909
173, 117.1938528418541, 897
174, 117.95924913883209, 880
175, 118.72464543581009, 886
176, 119.49004173278809, 820
177, 120.25543802976608, 764
178, 121.02083432674408, 778
179, 121.78623062372208, 769
180, 122.55162692070007, 693
181, 123.31702321767807, 638
182, 124.08241951465607, 626
183, 124.84781581163406, 677
184, 125.61321210861206, 605
185, 126.37860840559006, 580
186, 127.14400470256805, 573
187, 127.90940099954605, 576
188, 128.67479729652405, 566
189, 129.44019359350204, 566
190, 130.20558989048004, 550
191, 130.97098618745804, 570
192, 131.73638248443604, 593
193, 132.50177878141403, 595
194, 133.26717507839203, 536
195, 134.03257137537003, 548
196, 134.79796767234802, 540
197, 135.56336396932602, 566
198, 136.32876026630402, 591
199, 137.094156563282, 598
200, 137.85955286026, 603
201, 138.624949157238, 584
202, 139.390345454216, 574
203, 140.155741751194, 642
204, 140.921138048172, 628
205, 141.68653434515, 597
206, 142.451930642128, 644
207, 143.217326939106, 600
208, 143.98272323608398, 605
209, 144.74811953306198, 612
210, 145.51351583003998, 666
211, 146.27891212701797, 642
212, 147.04430842399597, 634
213, 147.80970472097397, 632
214, 148.57510101795197, 624
215, 149.34049731492996, 652
216, 150.10589361190796, 589
217, 150.87128990888596, 696
218, 151.63668620586395, 662
219, 152.40208250284195, 662
220, 153.16747879981995, 678
221, 153.93287509679794, 656
222, 154.69827139377594, 676
223, 155.46366769075394, 646
224, 156.22906398773193, 659
225, 156.99446028470993, 669
226, 157.75985658168793, 628
227, 158.52525287866592, 672
228, 159.29064917564392, 626
229, 160.05604547262192, 611
230, 160.82144176959991, 644
231, 161.5868380665779, 653
232, 162.3522343635559, 651
233, 163.1176306605339, 635
234, 163.8830269575119, 613
235, 164.6484232544899, 667
236, 165.4138195514679, 573
237, 166.1792158484459, 639
238, 166.9446121454239, 602
239, 167.7100084424019, 572
240, 168.47540473937988, 613
241, 169.24080103635788, 601
242, 170.00619733333588, 586
243, 170.77159363031387, 591
244, 171.53698992729187, 575
245, 172.30238622426987, 589
246, 173.06778252124786, 560
247, 173.83317881822586, 578
248, 174.59857511520386, 542
249, 175.36397141218185, 557
250, 176.12936770915985, 509
251, 176.89476400613785, 559
252, 177.66016030311584, 588
253, 178.42555660009384, 540
254, 179.19095289707184, 518
255, 179.95634919404984, 552
256, 180.72174549102783, 544
257, 181.48714178800583, 522
258, 182.25253808498383, 554
259, 183.01793438196182, 519
260, 183.78333067893982, 534
261, 184.54872697591782, 495
262, 185.3141232728958, 526
263, 186.0795195698738, 530
264, 186.8449158668518, 510
265, 187.6103121638298, 516
266, 188.3757084608078, 506
267, 189.1411047577858, 512
268, 189.9065010547638, 522
269, 190.6718973517418, 502
270, 191.4372936487198, 508
271, 192.20268994569778, 493
272, 192.96808624267578, 496
273, 193.73348253965378, 522
274, 194.49887883663177, 473
275, 195.26427513360977, 492
276, 196.02967143058777, 460
277, 196.79506772756577, 501
278, 197.56046402454376, 467
279, 198.32586032152176, 508
280, 199.09125661849976, 488
281, 199.85665291547775, 495
282, 200.62204921245575, 434
283, 201.38744550943375, 453
284, 202.15284180641174, 475
285, 202.91823810338974, 438
286, 203.68363440036774, 460
287, 204.44903069734573, 459
288, 205.21442699432373, 457
289, 205.97982329130173, 407
290, 206.74521958827972, 412
291, 207.51061588525772, 451
292, 208.27601218223572, 435
293, 209.04140847921371, 435
294, 209.8068047761917, 416
295, 210.5722010731697, 434
296, 211.3375973701477, 380
297, 212.1029936671257, 429
298, 212.8683899641037, 427
299, 213.6337862610817, 422
300, 214.3991825580597, 416
301, 215.1645788550377, 418
302, 215.9299751520157, 364
303, 216.69537144899368, 402
304, 217.46076774597168, 392
305, 218.22616404294968, 389
306, 218.99156033992767, 429
307, 219.75695663690567, 371
308, 220.52235293388367, 425
309, 221.28774923086166, 378
310, 222.05314552783966, 367
311, 222.81854182481766, 389
312, 223.58393812179565, 374
313, 224.34933441877365, 409
314, 225.11473071575165, 371
315, 225.88012701272964, 403
316, 226.64552330970764, 406
317, 227.41091960668564, 387
318, 228.17631590366364, 376
319, 228.94171220064163, 394
320, 229.70710849761963, 373
321, 230.47250479459763, 385
322, 231.23790109157562, 399
323, 232.00329738855362, 397
324, 232.76869368553162, 372
325, 233.5340899825096, 371
326, 234.2994862794876, 367
327, 235.0648825764656, 377
328, 235.8302788734436, 374
329, 236.5956751704216, 374
330, 237.3610714673996, 342
331, 238.1264677643776, 330
332, 238.8918640613556, 357
333, 239.6572603583336, 335
334, 240.42265665531158, 338
335, 241.18805295228958, 365
336, 241.95344924926758, 341
337, 242.71884554624557, 318
338, 243.48424184322357, 329
339, 244.24963814020157, 373
340, 245.01503443717957, 332
341, 245.78043073415756, 320
342, 246.54582703113556, 304
343, 247.31122332811356, 339
344, 248.07661962509155, 336
345, 248.84201592206955, 316
346, 249.60741221904755, 293
347, 250.37280851602554, 320
348, 251.13820481300354, 320
349, 251.90360110998154, 307
350, 252.66899740695953, 345
351, 253.43439370393753, 320
352, 254.19979000091553, 307
353, 254.96518629789352, 345
354, 255.73058259487152, 343
355, 256.4959788918495, 352
356, 257.2613751888275, 341
357, 258.0267714858055, 372
358, 258.7921677827835, 363
359, 259.5575640797615, 344
360, 260.3229603767395, 387
361, 261.0883566737175, 375
362, 261.8537529706955, 398
363, 262.6191492676735, 407
364, 263.3845455646515, 377
365, 264.1499418616295, 411
366, 264.9153381586075, 400
367, 265.6807344555855, 430
368, 266.4461307525635, 418
369, 267.2115270495415, 427
370, 267.97692334651947, 447
371, 268.74231964349747, 507
372, 269.50771594047546, 481
373, 270.27311223745346, 461
374, 271.03850853443146, 519
375, 271.80390483140945, 459
376, 272.56930112838745, 513
377, 273.33469742536545, 521
378, 274.10009372234344, 527
379, 274.86549001932144, 507
380, 275.63088631629944, 559
381, 276.39628261327744, 537
382, 277.16167891025543, 574
383, 277.92707520723343, 552
384, 278.6924715042114, 580
385, 279.4578678011894, 579
386, 280.2232640981674, 570
387, 280.9886603951454, 560
388, 281.7540566921234, 619
389, 282.5194529891014, 604
390, 283.2848492860794, 636
391, 284.0502455830574, 619
392, 284.8156418800354, 664
393, 285.5810381770134, 604
394, 286.3464344739914, 622
395, 287.1118307709694, 692
396, 287.8772270679474, 633
397, 288.6426233649254, 767
398, 289.4080196619034, 736
399, 290.1734159588814, 734
400, 290.9388122558594, 740
401, 291.7042085528374, 754
402, 292.46960484981537, 720
403, 293.23500114679337, 757
404, 294.00039744377136, 802
405, 294.76579374074936, 753
406, 295.53119003772736, 779
407, 296.29658633470535, 824
408, 297.06198263168335, 770
409, 297.82737892866135, 796
410, 298.59277522563934, 805
411, 299.35817152261734, 834
412, 300.12356781959534, 864
413, 300.88896411657333, 845
414, 301.65436041355133, 797
415, 302.4197567105293, 840
416, 303.1851530075073, 855
417, 303.9505493044853, 882
418, 304.7159456014633, 872
419, 305.4813418984413, 851
420, 306.2467381954193, 839
421, 307.0121344923973, 846
422, 307.7775307893753, 839
423, 308.5429270863533, 801
424, 309.3083233833313, 860
425, 310.0737196803093, 821
426, 310.8391159772873, 849
427, 311.6045122742653, 797
428, 312.3699085712433, 794
429, 313.1353048682213, 780
430, 313.9007011651993, 752
431, 314.6660974621773, 747
432, 315.4314937591553, 777
433, 316.19689005613327, 765
434, 316.96228635311127, 720
435, 317.72768265008926, 662
436, 318.49307894706726, 682
437, 319.25847524404526, 693
438, 320.02387154102325, 662
439, 320.78926783800125, 682
440, 321.55466413497925, 640
441, 322.32006043195724, 632
442, 323.08545672893524, 626
443, 323.85085302591324, 669
444, 324.61624932289124, 589
445, 325.38164561986923, 647
446, 326.14704191684723, 584
447, 326.9124382138252, 634
448, 327.6778345108032, 642
449, 328.4432308077812, 639
450, 329.2086271047592, 663
451, 329.9740234017372, 712
452, 330.7394196987152, 700
453, 331.5048159956932, 717
454, 332.2702122926712, 709
455, 333.0356085896492, 790
456, 333.8010048866272, 798
457, 334.5664011836052, 774
458, 335.3317974805832, 862
459, 336.0971937775612, 867
460, 336.8625900745392, 880
461, 337.6279863715172, 914
462, 338.3933826684952, 953
463, 339.1587789654732, 1026
464, 339.9241752624512, 1027
465, 340.68957155942917, 1053
466, 341.45496785640717, 1083
467, 342.22036415338516, 1215
468, 342.98576045036316, 1194
469, 343.75115674734116, 1309
470, 344.51655304431915, 1328
471, 345.28194934129715, 1311
472, 346.04734563827515, 1472
473, 346.81274193525314, 1478
474, 347.57813823223114, 1477
475, 348.34353452920914, 1516
476, 349.10893082618713, 1528
477, 349.87432712316513, 1626
478, 350.6397234201431, 1678
479, 351.4051197171211, 1671
480, 352.1705160140991, 1623
481, 352.9359123110771, 1730
482, 353.7013086080551, 1782
483, 354.4667049050331, 1776
484, 355.2321012020111, 1815
485, 355.9974974989891, 1806
486, 356.7628937959671, 1906
487, 357.5282900929451, 1891
488, 358.2936863899231, 1909
489, 359.0590826869011, 1899
490, 359.8244789838791, 1890
491, 360.5898752808571, 1895
492, 361.3552715778351, 1875
493, 362.1206678748131, 1813
494, 362.8860641717911, 1855
495, 363.6514604687691, 1754
496, 364.41685676574707, 1840
497, 365.18225306272507, 1781
498, 365.94764935970306, 1773
499, 366.71304565668106, 1786
500, 367.47844195365906, 1739
501, 368.24383825063705, 1699
502, 369.00923454761505, 1702
