Start Time, Fri Apr 10 12:04:11 GMT-0400 2026
Energy calibration,  Offset: -168.54302978515625, Slope: 0.9260296821594238, Quadratic: 0
Live Time (s), 120
Real Time (s), 130.731314
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
901, 665.8097138404846, 425
902, 666.735743522644, 426
903, 667.6617732048035, 441
904, 668.5878028869629, 419
905, 669.5138325691223, 426
906, 670.4398622512817, 409
907, 671.3658919334412, 401
908, 672.2919216156006, 437
909, 673.21795129776, 416
910, 674.1439809799194, 454
911, 675.0700106620789, 476
912, 675.9960403442383, 432
913, 676.9220700263977, 411
914, 677.8480997085571, 517
915, 678.7741293907166, 449
916, 679.700159072876, 461
917, 680.6261887550354, 403
918, 681.5522184371948, 486
919, 682.4782481193542, 489
920, 683.4042778015137, 452
921, 684.3303074836731, 446
922, 685.2563371658325, 449
923, 686.182366847992, 442
924, 687.1083965301514, 451
925, 688.0344262123108, 453
