Start Time, Fri Apr 10 12:04:11 GMT-0400 2026
Energy calibration,  Offset: -168.54302978515625, Slope: 0.9260296821594238, Quadratic: 0
Live Time (s), 120
Real Time (s), 130.731314
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
62, -111.12918949127197, 12523
63, -110.20315980911255, 11845
64, -109.27713012695313, 11240
65, -108.3511004447937, 9806
66, -107.42507076263428, 8825
67, -106.49904108047485, 7641
68, -105.57301139831543, 6598
69, -104.646981716156, 5716
70, -103.72095203399658, 5099
71, -102.79492235183716, 4600
72, -101.86889266967773, 4098
73, -100.94286298751831, 3747
74, -100.01683330535889, 3174
75, -99.09080362319946, 2758
76, -98.16477394104004, 2369
77, -97.23874425888062, 1929
78, -96.31271457672119, 1711
79, -95.38668489456177, 1530
80, -94.46065521240234, 1260
81, -93.53462553024292, 1117
82, -92.6085958480835, 982
83, -91.68256616592407, 919
84, -90.75653648376465, 874
85, -89.83050680160522, 796
86, -88.9044771194458, 820
87, -87.97844743728638, 821
88, -87.05241775512695, 818
89, -86.12638807296753, 806
90, -85.2003583908081, 793
91, -84.27432870864868, 738
92, -83.34829902648926, 787
93, -82.42226934432983, 808
94, -81.49623966217041, 787
95, -80.57020998001099, 762
96, -79.64418029785156, 860
97, -78.71815061569214, 828
98, -77.79212093353271, 803
99, -76.86609125137329, 843
100, -75.94006156921387, 770
101, -75.01403188705444, 868
102, -74.08800220489502, 811
103, -73.1619725227356, 836
104, -72.23594284057617, 919
105, -71.30991315841675, 922
106, -70.38388347625732, 878
107, -69.4578537940979, 913
108, -68.53182411193848, 926
109, -67.60579442977905, 926
110, -66.67976474761963, 921
111, -65.7537350654602, 1037
112, -64.82770538330078, 975
113, -63.90167570114136, 1023
114, -62.975646018981934, 1062
115, -62.04961633682251, 1064
116, -61.123586654663086, 1164
117, -60.19755697250366, 1140
118, -59.27152729034424, 1119
119, -58.345497608184814, 1228
120, -57.41946792602539, 1240
121, -56.49343824386597, 1266
122, -55.56740856170654, 1329
123, -54.64137887954712, 1283
124, -53.715349197387695, 1296
125, -52.78931951522827, 1390
126, -51.86328983306885, 1347
127, -50.937260150909424, 1394
128, -50.01123046875, 1361
129, -49.085200786590576, 1378
130, -48.15917110443115, 1383
131, -47.23314142227173, 1362
132, -46.307111740112305, 1364
133, -45.38108205795288, 1377
134, -44.45505237579346, 1381
135, -43.52902269363403, 1277
136, -42.60299301147461, 1351
137, -41.676963329315186, 1343
138, -40.75093364715576, 1320
139, -39.82490396499634, 1283
140, -38.898874282836914, 1213
141, -37.97284460067749, 1193
142, -37.046814918518066, 1290
143, -36.12078523635864, 1081
144, -35.19475555419922, 1176
145, -34.268725872039795, 1143
146, -33.34269618988037, 1197
147, -32.41666650772095, 1115
148, -31.490636825561523, 1166
149, -30.5646071434021, 1166
150, -29.638577461242676, 1147
151, -28.712547779083252, 1133
152, -27.786518096923828, 1202
153, -26.860488414764404, 1175
154, -25.93445873260498, 1164
155, -25.008429050445557, 1215
156, -24.082399368286133, 1226
157, -23.15636968612671, 1220
158, -22.230340003967285, 1279
159, -21.30431032180786, 1401
160, -20.378280639648438, 1408
161, -19.452250957489014, 1473
162, -18.52622127532959, 1487
163, -17.600191593170166, 1689
164, -16.674161911010742, 1776
165, -15.748132228851318, 1948
166, -14.822102546691895, 2199
167, -13.89607286453247, 2248
168, -12.970043182373047, 2537
169, -12.044013500213623, 2719
170, -11.1179838180542, 3010
171, -10.191954135894775, 3329
172, -9.265924453735352, 3556
173, -8.339894771575928, 3856
174, -7.413865089416504, 4004
175, -6.48783540725708, 4264
176, -5.561805725097656, 4454
177, -4.635776042938232, 4568
178, -3.7097463607788086, 4627
179, -2.7837166786193848, 4764
180, -1.857686996459961, 4888
181, -0.9316573143005371, 4673
182, -0.005627632141113281, 4609
183, 0.9204020500183105, 4445
184, 1.8464317321777344, 4151
185, 2.772461414337158, 3983
186, 3.698491096496582, 3877
187, 4.624520778656006, 3447
188, 5.55055046081543, 3185
189, 6.4765801429748535, 2881
190, 7.402609825134277, 2705
191, 8.328639507293701, 2406
192, 9.254669189453125, 2164
193, 10.180698871612549, 1935
194, 11.106728553771973, 1799
195, 12.032758235931396, 1621
196, 12.95878791809082, 1467
197, 13.884817600250244, 1312
198, 14.810847282409668, 1235
199, 15.736876964569092, 1232
200, 16.662906646728516, 1140
201, 17.58893632888794, 1076
202, 18.514966011047363, 1083
203, 19.440995693206787, 1060
204, 20.36702537536621, 951
205, 21.293055057525635, 1003
206, 22.21908473968506, 1017
207, 23.145114421844482, 1020
208, 24.071144104003906, 1014
209, 24.99717378616333, 975
210, 25.923203468322754, 975
211, 26.849233150482178, 936
212, 27.7752628326416, 963
213, 28.701292514801025, 978
214, 29.62732219696045, 937
215, 30.553351879119873, 990
216, 31.479381561279297, 972
217, 32.40541124343872, 934
218, 33.331440925598145, 970
219, 34.25747060775757, 988
220, 35.18350028991699, 986
221, 36.109529972076416, 956
222, 37.03555965423584, 1013
223, 37.961589336395264, 1048
224, 38.88761901855469, 987
225, 39.81364870071411, 1044
226, 40.739678382873535, 1025
227, 41.66570806503296, 1082
228, 42.59173774719238, 1086
229, 43.51776742935181, 1060
230, 44.44379711151123, 1135
231, 45.369826793670654, 1115
232, 46.29585647583008, 1084
233, 47.2218861579895, 1090
234, 48.147915840148926, 1137
235, 49.07394552230835, 1153
236, 49.99997520446777, 1162
237, 50.9260048866272, 1202
238, 51.85203456878662, 1157
239, 52.778064250946045, 1186
240, 53.70409393310547, 1185
241, 54.63012361526489, 1223
242, 55.556153297424316, 1185
243, 56.48218297958374, 1195
244, 57.408212661743164, 1149
245, 58.33424234390259, 1133
246, 59.26027202606201, 1172
247, 60.186301708221436, 1080
248, 61.11233139038086, 1153
249, 62.03836107254028, 1066
250, 62.96439075469971, 1035
251, 63.89042043685913, 1075
252, 64.81645011901855, 995
253, 65.74247980117798, 983
254, 66.6685094833374, 963
255, 67.59453916549683, 952
256, 68.52056884765625, 959
257, 69.44659852981567, 961
258, 70.3726282119751, 948
259, 71.29865789413452, 941
260, 72.22468757629395, 879
261, 73.15071725845337, 905
262, 74.0767469406128, 958
263, 75.00277662277222, 866
264, 75.92880630493164, 846
265, 76.85483598709106, 845
266, 77.78086566925049, 879
267, 78.70689535140991, 831
268, 79.63292503356934, 899
269, 80.55895471572876, 832
270, 81.48498439788818, 859
271, 82.41101408004761, 919
272, 83.33704376220703, 909
273, 84.26307344436646, 879
274, 85.18910312652588, 865
275, 86.1151328086853, 846
