Start Time, Fri Apr 17 13:23:17 GMT-0400 2026
Energy calibration,  Offset: 0, Slope: 0.7465173602104187, Quadratic: 0
Live Time (s), 120
Real Time (s), 122.353276
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
180, 134.37312483787537, 495
181, 135.11964219808578, 488
182, 135.8661595582962, 494
183, 136.61267691850662, 478
184, 137.35919427871704, 449
185, 138.10571163892746, 443
186, 138.85222899913788, 447
187, 139.5987463593483, 433
188, 140.34526371955872, 475
189, 141.09178107976913, 470
190, 141.83829843997955, 454
191, 142.58481580018997, 421
192, 143.3313331604004, 439
193, 144.0778505206108, 448
194, 144.82436788082123, 429
195, 145.57088524103165, 441
196, 146.31740260124207, 430
197, 147.06391996145248, 395
198, 147.8104373216629, 426
199, 148.55695468187332, 431
200, 149.30347204208374, 400
201, 150.04998940229416, 408
202, 150.79650676250458, 408
203, 151.543024122715, 427
204, 152.28954148292542, 434
205, 153.03605884313583, 406
206, 153.78257620334625, 436
207, 154.52909356355667, 427
208, 155.2756109237671, 397
209, 156.0221282839775, 440
210, 156.76864564418793, 449
211, 157.51516300439835, 390
212, 158.26168036460876, 416
213, 159.00819772481918, 395
214, 159.7547150850296, 397
215, 160.50123244524002, 381
216, 161.24774980545044, 431
217, 161.99426716566086, 391
218, 162.74078452587128, 406
219, 163.4873018860817, 413
220, 164.23381924629211, 415
221, 164.98033660650253, 360
222, 165.72685396671295, 407
223, 166.47337132692337, 408
224, 167.2198886871338, 418
225, 167.9664060473442, 404
226, 168.71292340755463, 396
227, 169.45944076776505, 399
228, 170.20595812797546, 411
229, 170.95247548818588, 433
230, 171.6989928483963, 421
231, 172.44551020860672, 387
232, 173.19202756881714, 388
233, 173.93854492902756, 376
234, 174.68506228923798, 415
235, 175.4315796494484, 385
236, 176.1780970096588, 397
237, 176.92461436986923, 413
238, 177.67113173007965, 383
239, 178.41764909029007, 402
240, 179.1641664505005, 402
241, 179.9106838107109, 379
242, 180.65720117092133, 422
243, 181.40371853113174, 389
244, 182.15023589134216, 366
245, 182.89675325155258, 382
246, 183.643270611763, 413
247, 184.38978797197342, 393
248, 185.13630533218384, 421
249, 185.88282269239426, 406
250, 186.62934005260468, 424
251, 187.3758574128151, 404
252, 188.1223747730255, 420
253, 188.86889213323593, 403
254, 189.61540949344635, 438
255, 190.36192685365677, 402
256, 191.1084442138672, 505
257, 191.8549615740776, 414
258, 192.60147893428802, 459
259, 193.34799629449844, 421
260, 194.09451365470886, 454
261, 194.84103101491928, 392
262, 195.5875483751297, 438
263, 196.33406573534012, 460
264, 197.08058309555054, 406
265, 197.82710045576096, 470
266, 198.57361781597137, 434
267, 199.3201351761818, 492
268, 200.0666525363922, 429
269, 200.81316989660263, 428
270, 201.55968725681305, 450
271, 202.30620461702347, 459
272, 203.0527219772339, 459
273, 203.7992393374443, 431
274, 204.54575669765472, 474
275, 205.29227405786514, 459
276, 206.03879141807556, 402
277, 206.78530877828598, 440
278, 207.5318261384964, 449
279, 208.27834349870682, 411
280, 209.02486085891724, 405
281, 209.77137821912766, 407
282, 210.51789557933807, 393
283, 211.2644129395485, 430
284, 212.0109302997589, 394
285, 212.75744765996933, 415
286, 213.50396502017975, 403
287, 214.25048238039017, 371
288, 214.9969997406006, 370
289, 215.743517100811, 386
290, 216.49003446102142, 345
291, 217.23655182123184, 399
292, 217.98306918144226, 352
293, 218.72958654165268, 413
294, 219.4761039018631, 350
295, 220.22262126207352, 384
296, 220.96913862228394, 400
297, 221.71565598249435, 359
298, 222.46217334270477, 381
299, 223.2086907029152, 361
300, 223.9552080631256, 370
301, 224.70172542333603, 349
302, 225.44824278354645, 336
303, 226.19476014375687, 318
304, 226.94127750396729, 328
305, 227.6877948641777, 335
306, 228.43431222438812, 344
307, 229.18082958459854, 363
308, 229.92734694480896, 364
309, 230.67386430501938, 361
310, 231.4203816652298, 346
311, 232.16689902544022, 321
312, 232.91341638565063, 392
313, 233.65993374586105, 340
314, 234.40645110607147, 341
315, 235.1529684662819, 328
316, 235.8994858264923, 358
317, 236.64600318670273, 353
318, 237.39252054691315, 373
319, 238.13903790712357, 377
320, 238.88555526733398, 321
321, 239.6320726275444, 322
322, 240.37858998775482, 349
323, 241.12510734796524, 314
324, 241.87162470817566, 352
325, 242.61814206838608, 309
326, 243.3646594285965, 305
327, 244.11117678880692, 336
328, 244.85769414901733, 312
329, 245.60421150922775, 299
330, 246.35072886943817, 325
331, 247.0972462296486, 341
332, 247.843763589859, 327
333, 248.59028095006943, 311
334, 249.33679831027985, 349
335, 250.08331567049026, 333
336, 250.82983303070068, 321
337, 251.5763503909111, 349
338, 252.32286775112152, 320
339, 253.06938511133194, 335
340, 253.81590247154236, 332
341, 254.56241983175278, 313
342, 255.3089371919632, 298
343, 256.0554545521736, 316
344, 256.80197191238403, 308
345, 257.54848927259445, 286
346, 258.29500663280487, 326
347, 259.0415239930153, 292
348, 259.7880413532257, 305
349, 260.5345587134361, 299
350, 261.28107607364655, 310
351, 262.02759343385696, 288
352, 262.7741107940674, 287
353, 263.5206281542778, 251
354, 264.2671455144882, 296
355, 265.01366287469864, 290
356, 265.76018023490906, 277
357, 266.5066975951195, 269
358, 267.2532149553299, 268
359, 267.9997323155403, 302
360, 268.74624967575073, 268
361, 269.49276703596115, 263
362, 270.23928439617157, 282
363, 270.985801756382, 264
364, 271.7323191165924, 253
365, 272.4788364768028, 272
366, 273.22535383701324, 296
367, 273.97187119722366, 258
368, 274.7183885574341, 280
369, 275.4649059176445, 245
370, 276.2114232778549, 248
371, 276.95794063806534, 233
372, 277.70445799827576, 305
373, 278.4509753584862, 249
374, 279.1974927186966, 255
375, 279.944010078907, 271
376, 280.69052743911743, 250
377, 281.43704479932785, 290
378, 282.18356215953827, 268
379, 282.9300795197487, 294
380, 283.6765968799591, 251
381, 284.4231142401695, 252
382, 285.16963160037994, 238
383, 285.91614896059036, 257
384, 286.6626663208008, 262
385, 287.4091836810112, 280
386, 288.1557010412216, 228
387, 288.90221840143204, 245
388, 289.64873576164246, 267
389, 290.3952531218529, 265
390, 291.1417704820633, 279
391, 291.8882878422737, 260
392, 292.63480520248413, 272
393, 293.38132256269455, 244
394, 294.12783992290497, 241
395, 294.8743572831154, 241
396, 295.6208746433258, 258
397, 296.3673920035362, 252
398, 297.11390936374664, 258
399, 297.86042672395706, 267
400, 298.6069440841675, 249
401, 299.3534614443779, 225
402, 300.0999788045883, 251
403, 300.84649616479874, 255
404, 301.59301352500916, 272
405, 302.3395308852196, 249
406, 303.08604824543, 238
407, 303.8325656056404, 249
408, 304.57908296585083, 272
409, 305.32560032606125, 272
410, 306.07211768627167, 233
411, 306.8186350464821, 249
412, 307.5651524066925, 248
413, 308.3116697669029, 203
414, 309.05818712711334, 245
415, 309.80470448732376, 256
416, 310.5512218475342, 245
417, 311.2977392077446, 248
418, 312.044256567955, 261
419, 312.79077392816544, 254
420, 313.53729128837585, 223
421, 314.2838086485863, 250
422, 315.0303260087967, 244
423, 315.7768433690071, 223
424, 316.52336072921753, 261
425, 317.26987808942795, 234
426, 318.01639544963837, 217
427, 318.7629128098488, 226
428, 319.5094301700592, 223
429, 320.2559475302696, 215
430, 321.00246489048004, 237
431, 321.74898225069046, 229
432, 322.4954996109009, 230
433, 323.2420169711113, 272
434, 323.9885343313217, 235
435, 324.73505169153214, 230
436, 325.48156905174255, 215
437, 326.228086411953, 215
438, 326.9746037721634, 230
439, 327.7211211323738, 231
440, 328.46763849258423, 224
441, 329.21415585279465, 234
442, 329.96067321300507, 221
443, 330.7071905732155, 230
444, 331.4537079334259, 238
445, 332.2002252936363, 244
446, 332.94674265384674, 228
447, 333.69326001405716, 219
448, 334.4397773742676, 224
449, 335.186294734478, 217
450, 335.9328120946884, 250
